Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
BB358-175.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	5658.9	2682.4	493908.4	2759
BB358-175.czi	OSVZ	OSVZ	Image	Polygon	3899.4	6200.7	558425	7893.7
BB358-175.czi	OSVZ	OSVZ	Image	Polygon	5248.9	2977	435364.1	3718.3
BB358-175.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	4247.4	4842.2	1634129.8	8399.4
BB358-175.czi	OSVZ	OSVZ	Image	Polygon	10032.8	7524.3	2641350.6	7547.9
BB358-175.czi	OSVZ	OSVZ	Image	Polygon	4618	4150.8	1269491.4	9338.3
BB358-175.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	3357.1	6227.4	501424.1	4587.3
BB358-175.czi	OSVZ	OSVZ	Image	Polygon	6229.8	2493.5	681953.7	4892.1
