Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
BB358-22.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	6735.9	2534.2	190698.7	3259
BB358-22.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	4818.3	4476.9	37853.9	2124.6
BB358-22.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	5576.4	4355.9	20413.1	1009.3
BB358-22.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	6848	3619	375855.8	4958.8
BB358-22.czi	OSVZ	OSVZ	Image	Polygon	7121.5	2813.2	307207.2	5436.7
BB358-22.czi	OSVZ	OSVZ	Image	Polygon	6719.6	4008.5	135539.3	3119.9
BB358-22.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	6199	2399.7	87272.7	2293.3
BB358-22.czi	OSVZ	OSVZ	Image	Polygon	6097.9	2271	109968.8	2557.9
