Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
BB358-42.czi	OSVZ	OSVZ	Image	Polygon	2794.8	1232	120002	3971.2
BB358-42.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	3269.2	5157.5	66790.4	4104.1
BB358-42.czi	OSVZ	OSVZ	Image	Polygon	6279.1	3238.2	321794.8	5231.8
BB358-42.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	2738.3	1355.5	196946	4342.5
BB358-42.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	6150.1	3490.6	494546.1	6664.8
BB358-42.czi	OSVZ	OSVZ	Image	Polygon	5079.2	5004.6	102192.4	2911
BB358-42.czi	OSVZ	OSVZ	Image	Polygon	6274.2	4441.6	165265.3	2908.2
BB358-42.czi	VZ / ISVZ	VZ / ISVZ	Image	Polygon	5241.1	4809.2	264880	4368.3
